run_datetime,S0,K,mu,sigma,N,monitoring_dates,style,l1,l2,l3,e1,e2,initial_option_value
2023-11-20 03:19:48.652657,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0566875666100756
2023-11-20 03:38:18.461787,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05565452089978
2023-11-20 03:55:12.998510,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05570827811896755
2023-11-20 04:12:06.788450,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05624298811412175
2023-11-20 04:29:48.641865,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05636651991160353
2023-11-20 04:47:47.367661,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055710079833330546
2023-11-20 05:03:46.933322,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05628842129735474
2023-11-20 05:37:19.161771,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.057410151154367296
2023-11-20 05:53:19.401807,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05537400382515666
2023-11-20 06:09:11.313505,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05580441460251379
2023-11-20 14:54:25.472820,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055873126758965594
2023-11-20 14:55:13.377862,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0538846724025151
2023-11-20 14:55:23.560390,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05541043541640033
2023-11-20 14:55:30.961981,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055703469133093125
2023-11-20 14:55:43.435460,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05708468960499218
2023-11-20 14:55:52.287815,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05583027921307756
2023-11-20 14:56:02.631409,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05585160955128982
2023-11-20 14:56:13.086046,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05667949321127192
2023-11-20 14:56:21.029213,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05501357092291401
2023-11-20 14:56:31.452054,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05486755866182438
2023-11-20 14:56:41.280105,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056188293824822474
2023-11-20 14:56:50.028843,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055571685616473125
2023-11-20 14:57:02.661622,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05699817917912276
2023-11-20 14:57:11.360631,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0557483515380378
2023-11-20 14:57:20.709339,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05681554351567917
2023-11-20 14:57:29.041052,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05526241964220026
2023-11-20 14:57:36.729599,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05525779027961453
2023-11-20 14:57:46.281793,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055852084139525714
2023-11-20 14:57:54.466276,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.054731737379651466
2023-11-20 14:58:06.009585,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05534754189777774
2023-11-20 14:58:13.145605,1.0,1.0,0.06,0.2,200,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05492223824420945
2023-11-20 14:58:26.249315,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056377048691924954
2023-11-20 14:58:35.091002,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056703608588112714
2023-11-20 14:58:44.806161,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05655025015801761
2023-11-20 14:58:53.056121,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.054819863066932456
2023-11-20 14:59:07.339364,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05967310217456688
2023-11-20 14:59:18.211493,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05819519327217489
2023-11-20 14:59:26.591549,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056611208573196736
2023-11-20 14:59:36.608886,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05470742571564372
2023-11-20 14:59:44.506108,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0572825263346331
2023-11-20 14:59:52.699920,1.0,1.0,0.06,0.2,300,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05546255666731346
2023-11-20 15:00:01.588736,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05524803475438362
2023-11-20 15:00:10.183726,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05648259223781484
2023-11-20 15:00:23.488731,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05529061299171558
2023-11-20 15:00:32.958690,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0550101184005891
2023-11-20 15:00:45.578199,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05564681028133255
